"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"257000",67.8419407525213,-0.00712685441020354,0.0658248664952191,0.000286038236128235,0.0852697597368011,"TINCR","TINCR ubiquitin domain containing","Not_significant","TINCR"
"348378",41.3358823183435,2.24244087211558,0.788875050559572,0.000272566241532297,0.0852697597368011,"SHISAL2A","shisa like 2A","Not_significant","SHISAL2A"
"4103",462.37076256941,-0.00259102968230662,0.0654924335458293,0.000305890591782726,0.0852697597368011,"MAGEA4","MAGE family member A4","Not_significant","MAGEA4"
"5649",423.605267728968,2.70741311969521,0.906254327001546,0.0003074304512441,0.0852697597368011,"RELN","reelin","Not_significant","RELN"
"6865",78.7757319102486,-0.0283444098679544,0.074611366827415,0.000317510666916249,0.0852697597368011,"TACR2","tachykinin receptor 2","Not_significant","TACR2"
"79368",113.086335655489,2.83695135230079,0.992826143566432,0.000300237892642061,0.0852697597368011,"FCRL2","Fc receptor like 2","Not_significant","FCRL2"
"93099",1533.80659914923,-0.0127225400408707,0.0672191941515244,0.000305264563922549,0.0852697597368011,"DMKN","dermokine","Not_significant","DMKN"
"931",604.09446079401,3.99617283936911,0.835762407644539,0.000305467366303861,0.0852697597368011,"MS4A1","membrane spanning 4-domains A1","Not_significant","MS4A1"
"2719",883.328375472224,1.76979403086567,0.645001909219568,0.000331582033268697,0.0863450310826309,"GPC3","glypican 3","Not_significant","GPC3"
"10563",1551.66590703785,2.66466157198017,0.952598000895421,0.000350305564558132,0.0870105129198621,"CXCL13","C-X-C motif chemokine ligand 13","Not_significant","CXCL13"
"1191",11177.8387557967,2.33830027464319,0.839896278044567,0.00034297887164051,0.0870105129198621,"CLU","clusterin","Not_significant","CLU"
"80004",31.7983564927614,0.0126357925584858,0.0669048031385152,0.000348628109859593,0.0870105129198621,"ESRP2","epithelial splicing regulatory protein 2","Not_significant","ESRP2"
"29802",35.2801557378312,4.29619992416809,0.830253471545173,0.000373347564001422,0.089180098216899,"VPREB3","V-set pre-B cell surrogate light chain 3","Not_significant","VPREB3"
"4204",2931.72054591698,0.425874212492493,0.161282173453972,0.000375611438758076,0.089180098216899,"MECP2","methyl-CpG binding protein 2","Not_significant","MECP2"
"57126",117.331781974649,-0.00711464826773526,0.0659966741780785,0.00037302678775943,0.089180098216899,"CD177","CD177 molecule","Not_significant","CD177"
"2517",8724.84831576912,0.00603320782726875,0.0653822410103964,0.000382302806498408,0.0894533161002434,"FUCA1","alpha-L-fucosidase 1","Not_significant","FUCA1"
"1364",147.942154353404,-0.00791342302532198,0.066115677663958,0.000387879166490037,0.0894615591854521,"CLDN4","claudin 4","Not_significant","CLDN4"
"124220",66.7616851790644,-0.0099490859086407,0.0665172944878652,0.000418954871180387,0.0914057620973965,"ZG16B","zymogen granule protein 16B","Not_significant","ZG16B"
"4216",908.205034104628,0.702847602389021,0.272424748295904,0.00040926851467022,0.0914057620973965,"MAP3K4","mitogen-activated protein kinase kinase kinase 4","Not_significant","MAP3K4"
"4322",235.847195953695,0.00401758119594203,0.065459690348553,0.000407152742048332,0.0914057620973965,"MMP13","matrix metallopeptidase 13","Not_significant","MMP13"
"489",1163.75537597719,1.67491442583395,0.63268949588304,0.000417954444232551,0.0914057620973965,"ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","Not_significant","ATP2A3"
"339855",25.0927475989076,-0.00400292441800188,0.065404098770503,0.000433503627744446,0.0920910009201853,"KY","kyphoscoliosis peptidase","Not_significant","KY"
"6364",124.705564957717,0.0124239230538272,0.0669563890042662,0.000430110298000644,0.0920910009201853,"CCL20","C-C motif chemokine ligand 20","Not_significant","CCL20"
"10382",2028.97311381267,-0.0209829403997922,0.0703392654821898,0.000515871223913054,0.0935648505922281,"TUBB4A","tubulin beta 4A class IVa","Not_significant","TUBB4A"
"11155",1096.10551255313,-0.0159260285430745,0.0682337097017068,0.000492149783658577,0.0935648505922281,"LDB3","LIM domain binding 3","Not_significant","LDB3"
"115265",328.053907427551,-0.0212037641054783,0.0706263455237258,0.000516518776595318,0.0935648505922281,"DDIT4L","DNA damage inducible transcript 4 like","Not_significant","DDIT4L"
"146206",189.05373745251,1.7919567012228,0.681552515055392,0.000452032176597679,0.0935648505922281,"CARMIL2","capping protein regulator and myosin 1 linker 2","Not_significant","CARMIL2"
"147495",1417.37707812837,-0.0126616375745119,0.0671344986197239,0.000476708521497747,0.0935648505922281,"APCDD1","APC down-regulated 1","Not_significant","APCDD1"
"1729",4831.5339581453,0.578626829833154,0.231818927571524,0.000504565382971183,0.0935648505922281,"DIAPH1","diaphanous related formin 1","Not_significant","DIAPH1"
"2676",29.297532448634,-0.00602786230287953,0.0657594937270854,0.000505525681128408,0.0935648505922281,"GFRA3","GDNF family receptor alpha 3","Not_significant","GFRA3"
"2731",296.639649721334,0.0122793711259958,0.0668407141035662,0.000464976162302336,0.0935648505922281,"GLDC","glycine decarboxylase","Not_significant","GLDC"
"3852",463.46648518918,-0.00494541015127586,0.0656985726493407,0.000466833479033829,0.0935648505922281,"KRT5","keratin 5","Not_significant","KRT5"
"51704",5850.36665207245,-0.0273408075382989,0.0739051578790747,0.000498512473493074,0.0935648505922281,"GPRC5B","G protein-coupled receptor class C group 5 member B","Not_significant","GPRC5B"
"6444",6600.05782122114,-0.021522524321512,0.0706058282067284,0.00047277561726903,0.0935648505922281,"SGCD","sarcoglycan delta","Not_significant","SGCD"
"7113",91.2656633968328,-0.00235902409730955,0.0652879058157036,0.000521575506553145,0.0935648505922281,"TMPRSS2","transmembrane serine protease 2","Not_significant","TMPRSS2"
"79814",194.206094071289,1.77038476708426,0.680912671733843,0.000486346191091782,0.0935648505922281,"AGMAT","agmatinase (putative)","Not_significant","AGMAT"
"80709",1727.77657899465,1.14094744754517,0.44309584530967,0.000454045904956587,0.0935648505922281,"AKNA","AT-hook transcription factor","Not_significant","AKNA"
"55653",206.523761464238,1.57225726029716,0.621635730657691,0.000560695745546299,0.0983960088244021,"BCAS4","breast carcinoma amplified sequence 4","Not_significant","BCAS4"
"8357",75.1165222884835,-0.0109369555065029,0.0664729018879069,0.000558359395327809,0.0983960088244021,"H3C10","H3 clustered histone 10","Not_significant","H3C10"
"100128682",400.278267633339,-0.00864761295231894,0.0662455551352792,0.000637962022045016,0.0999989985040464,"LINC01531","long intergenic non-protein coding RNA 1531","Not_significant","LINC01531"
"10750",342.400881357392,1.37388684028412,0.550973433170335,0.000583355698184171,0.0999989985040464,"GRAP","GRB2 related adaptor protein","Not_significant","GRAP"
"1101",61.8849297421328,0.00128075904176915,0.0651346811443515,0.000606922967611745,0.0999989985040464,"CHAD","chondroadherin","Not_significant","CHAD"
"3495",351.651402133827,-0.000812311807643478,0.0653170213919382,0.00059138935633648,0.0999989985040464,"IGHD","immunoglobulin heavy constant delta","Not_significant","IGHD"
"374383",247.95514546157,0.0214046860386781,0.0699684469791417,0.000626385147824937,0.0999989985040464,"NCR3LG1","natural killer cell cytotoxicity receptor 3 ligand 1","Not_significant","NCR3LG1"
"3776",517.751197398714,-0.00166153989157229,0.0650625013180605,0.000615308999233109,0.0999989985040464,"KCNK2","potassium two pore domain channel subfamily K member 2","Not_significant","KCNK2"
"5452",561.998396823006,1.50807117217559,0.608752560045874,0.00062548122051942,0.0999989985040464,"POU2F2","POU class 2 homeobox 2","Not_significant","POU2F2"
"57467",65.1499815065239,-0.00565372562358697,0.0656889606002979,0.000583018905594359,0.0999989985040464,"HHATL","hedgehog acyltransferase like","Not_significant","HHATL"
"84456",486.548831064821,0.599077420043911,0.248425626510155,0.000596211330216662,0.0999989985040464,"L3MBTL3","L3MBTL histone methyl-lysine binding protein 3","Not_significant","L3MBTL3"
