"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04014","Ras signaling pathway",199,0.301809919751313,1.549350949987,0.000478349627798718,0.00344004625948866,0.00254976957258891,2700,"tags=28%, list=16%, signal=23%","26279/9771/5336/2324/5567/83593/64926/80310/2264/10125/3845/5880/27040/4790/5908/5322/6789/2113/3643/7010/5293/2322/3082/2793/5966/8517/3791/2002/284/29110/51196/1942/7535/5579/5295/356/23179/1436/27/5337/5922/7424/10156/2885/5062/11145/5869/10235/5601/3479/5924/1147/5604/382/5058"
"hsa04517","IgSF CAM signaling",280,0.279281980282038,1.48679228534788,0.000598688481726571,0.00421576472549127,0.00312473374234482,2743,"tags=26%, list=16%, signal=22%","51735/5336/91584/9223/3932/117157/2037/3635/114836/10225/3384/26047/56288/51744/940/3683/1445/253559/4063/26050/201633/23114/4068/57863/3385/5777/5908/5588/962/914/81873/10666/5293/56253/7409/50848/54538/4067/3791/4629/6504/3676/6709/3556/4008/5579/8829/5295/30835/81928/113457/10097/2308/90952/51678/6092/2885/9693/7430/3937/2534/5062/90249/9414/9901/3785/57823/5601/9353/5604/382/5058/10451/7082"
"hsa04621","NOD-like receptor signaling pathway",153,0.322526986094102,1.59235683821909,0.000820271255176163,0.00565819763774578,0.00419386807157738,3126,"tags=26%, list=19%, signal=21%","115361/3569/118429/7128/3455/3708/3716/330/2635/10059/4790/23118/10392/7124/6352/8517/6885/23236/29110/171389/23710/115362/114548/7187/9641/1536/22861/9447/4792/199713/6772/2633/841/5601/1147/10628/7188/7186/5970/9474"
"hsa05161","Hepatitis B",144,0.320595788634434,1.56499902409347,0.00109079015878778,0.0072291583072602,0.00535826744667682,2681,"tags=26%, list=16%, signal=22%","3569/3718/6775/2185/3716/3845/6774/4790/23118/2033/7124/4775/6777/5293/8517/6885/2002/29110/7187/7048/9641/5579/1654/5295/356/1870/4792/6778/6772/23586/2885/841/5601/1147/843/1960/5604"
"hsa05012","Parkinson disease",231,-0.308820292747075,-1.49676083782563,0.0010718502248281,0.0072291583072602,0.00535826744667682,4913,"tags=40%, list=29%, signal=29%","1327/4708/4711/5692/468/4697/54539/4712/1350/5706/1346/5701/6233/1349/1843/3831/25828/5687/10213/5682/4694/10131/4891/29796/1347/7314/4725/515/27173/9861/4780/7419/2861/4714/7417/4717/522/51807/5700/1345/805/6263/55967/347733/4698/1351/9167/7386/4723/4695/4137/5715/513/1537/4726/1337/4728/4716/4713/4724/4709/3710/5714/1329/10975/7280/1340/55630/51079/4715/29985/4696/4705/598/27089/7381/374291/4701/4707/126328/581/539/89953/7979/5694/4706/56901/815/4731/147700/808/7345/10382"
"hsa04920","Adipocytokine signaling pathway",63,0.409153506787495,1.72053026944917,0.00122160918010366,0.0075793995143896,0.00561786697111406,3588,"tags=41%, list=21%, signal=33%","51703/6774/4790/5588/7124/5465/8517/1374/2475/10891/7133/2180/4792/32/2182/5601/1147/51422/5562/948/7186/7132/5970/5563/3717/5105"
"hsa04610","Complement and coagulation cascades",71,0.396624886443547,1.69249703474132,0.00123333424050718,0.0075793995143896,0.00561786697111406,3207,"tags=38%, list=19%, signal=31%","1191/3426/9002/710/3078/2151/1378/715/725/730/2157/623/7450/2149/2/1380/624/717/3075/5624/1379/5104/11326/5345/714/713/2153"
"hsa04931","Insulin resistance",99,0.368509631775487,1.67229312247668,0.00122761082432635,0.0075793995143896,0.00561786697111406,3204,"tags=38%, list=19%, signal=31%","3569/5770/51085/6774/4790/5588/7124/11000/3643/5293/5837/5465/1374/5509/2475/5579/5295/2998/10891/2308/6196/6198/4792/6195/6720/32/200186/5601/51422/5562/5792/11001/948/7132/5970/5563/9882/4846"
"hsa05016","Huntington disease",270,-0.300810360245975,-1.49178184682224,0.00118939837863118,0.0075793995143896,0.00561786697111406,4913,"tags=41%, list=29%, signal=29%","1327/4708/4711/5692/4697/90993/148327/10540/54539/84516/4712/1350/1767/5706/1346/5701/83544/1349/3831/10120/5687/10213/5682/4694/29796/1347/4725/515/9861/2893/7419/4714/10671/7417/4717/522/51807/5700/1345/9586/9821/246721/55967/6804/347733/4698/1351/9167/5441/7386/4723/10488/4695/5434/5715/513/5332/1537/10126/4726/1337/4728/4716/5437/4713/5439/4724/4709/5714/1329/10975/7280/1173/22863/1340/11258/51079/4715/4696/4705/27089/493869/7381/374291/2891/4701/160/4707/5438/1212/126328/581/539/89953/1211/7979/9706/5694/4706/56901/5440/27113/774/2877/1175/4731/55860/2890/147700/10382"
"hsa04721","Synaptic vesicle cycle",61,-0.436252970284802,-1.70001312480241,0.00131496359368345,0.00786206656268795,0.00582738038592256,3644,"tags=43%, list=22%, signal=33%","533/6529/2054/525/245973/523/6804/8775/6616/6536/9296/528/51382/51606/1173/6505/160/1759/1212/6809/9550/1211/774/534/1175/6857"
"hsa05170","Human immunodeficiency virus 1 infection",187,0.298824363288593,1.52343640701345,0.00132585146175507,0.00786206656268795,0.00582738038592256,3272,"tags=30%, list=19%, signal=25%","5336/917/115004/3984/916/919/2185/3708/3845/5880/200316/27350/915/4790/23118/9582/140564/7124/4775/5293/2793/8517/1399/6885/5530/8454/29110/55080/9730/2475/5579/5295/356/7133/6198/4792/1234/25939/164/5062/162/60489/841/5601/1147/5604/5058/6890/7188/7186/6891/7132/5970/8945/3133/10681/836"
"hsa05203","Viral carcinogenesis",171,0.299778008450073,1.50980655090599,0.00169027736525126,0.00985023705956771,0.00730101656859893,3272,"tags=30%, list=19%, signal=25%","9734/1233/3718/894/5567/5934/4791/3716/3845/6774/4790/2033/9519/6777/5293/1029/5966/8517/4067/1232/4193/7187/1027/1654/8345/5295/23352/6850/1108/9261/10013/7337/4792/6908/5922/1234/991/2885/1237/841/6672/1960/3065/7188/7186/5970/8339/1739/3133/5933/440689/836"
"hsa04612","Antigen processing and presentation",62,0.418753218851717,1.75676156073194,0.00180727556362508,0.0103433947272709,0.00766654607627056,4867,"tags=58%, list=29%, signal=41%","5993/3112/4261/3111/926/925/7124/55080/3118/3113/3824/4801/3122/972/3458/5721/6890/3823/3119/6891/3133/5720/3309/3127/3107/920/3109/3115/3108/3117/567/10197/3305/3106/3123/811"
"hsa04666","Fc gamma R-mediated phagosome formation",91,0.354859334860397,1.59249111672513,0.00183610557288833,0.0103433947272709,0.00766654607627056,3514,"tags=36%, list=21%, signal=29%","5336/3984/3635/5788/5880/27040/653361/81873/5293/7409/1399/4067/7454/5579/5295/6850/10097/2215/6198/8613/5337/8611/5604/382/5058/10451/8394/5321/2214/653857/7410/1073/10163"
